text,question,info_column_two,info_column_three,text_answer,info_column_five,info_column_six,info_column_seven,info_column_eight,info_column_9,10,11,12,id,text_chunk,start_index
COMP-06,"Do you have a dedicated Software and System Development team(s)? (e.g. Customer Support, Implementation, Product Management, etc.)",Yes,"Our software development team is led by a Director of Product Development and comprised of three full stack engineers, one DevOps enginneer, one head of product, one head of design, and one product manager. In addition, a team of two Customer Success Managers oversee successful implementations, along with one support manager.","Describe the structure and size of your Software and System Development teams. (e.g. Customer Support, Implementation, Product Management, etc.)",,,,,,,,,15,COMP-06,0.0
COMP-07,Use this area to share information about your environment that will assist those who are assessing your company data security program.,"Please see our Information Security Policy attached for more information. In addition, please see our architecture overview for information about our environment: https://drive.google.com/file/d/1ilPWGtKYsySOa-RTQovOCZGnLpNB8g9P/view
THRD-01,Describe how you perform security assessments of third party companies with which you share data (i.e. hosting providers", cloud services, PaaS, IaaS, SaaS, etc.). Provide a summary of your practices that assures that the third party will be subject to the appropriate standards regarding security, service recoverability," and confidentiality.""",Yes,Please see the link below and attached EYCP Certification in section “A” of the addenda: https://aws.amazon.com/compliance/iso-27001-faqs/,Ensure that all elements of THRD-01 are clearly stated in your response.,16,COMP-07,0.0
THRD-02,Provide a brief description for why each of these third parties will have access to institution data.,Yes,"Currently, all of our data is maintained on RDS instances using AWS.","If more space is needed to sufficiently answer this question, provide reference to the document or add it as an appendix.",,,,,,,,,17,THRD-02,0.0
THRD-03,What legal agreements (i.e. contracts) do you have in place with these third parties that address liability in the event of a data breach?,Yes,"Full Measure's Vice President, Anthony Banford, has access and manages these agreements. Contractual materials will be shared upon request of client.",Provide sufficient detail for each legal agreement in place.,,,,,,,,,18,THRD-03,0.0
THRD-04,Describe or provide references to your third party management strategy or provide additional information that may help analysts better understand your environment and how it relates to third-party solutions.,Yes,The only third party systems with access to our data is AWS.,Robust answers from the vendor improve the quality and efficiency of the security assessment process. Consulting - Optional based on QUALIFIER response.,,Vendor Answers,Additional Information,Guidance,,,,,19,THRD-04,0.0
CONS-01,Will the consulting take place on-premises?,,,,,,,,,,,,20,CONS-01,0.0
CONS-02,Will the consultant require access to Institution's network resources?,,,,,,,,,,,,21,CONS-02,0.0
CONS-03,Will the consultant require access to hardware in the Institution's data centers?,,,,,,,,,,,,22,CONS-03,0.0
CONS-04,Will the consultant require an account within the Institution's domain (@*.edu)?,,,,,,,,,,,,23,CONS-04,0.0
CONS-05,"Has the consultant received training on [sensitive, HIPAA, PCI, etc.] data handling?",,,,,,,,,,,,24,CONS-05,0.0
CONS-06,Will any data be transferred to the consultant's possession?,,,,,,,,,,,,25,CONS-06,0.0
CONS-07,Is it encrypted (at rest) while in the consultant's possession?,,,,,,,,,,,,26,CONS-07,0.0
CONS-08,Will the consultant need remote access to the Institution's network or systems?,,,,,,,,,,,,27,CONS-08,0.0
CONS-09,Can we restrict that access based on source IP address?,,,,,,,,,,,,28,CONS-09,0.0
APPL-01,Do you support role-based access control (RBAC) for end-users?,Yes,Granular rights and permissions enable the institution to grant users access to specific features as needed.,Describe any infrastructure dependencies.,,,,,,,,,29,APPL-01,0.0
APPL-02,Do you support role-based access control (RBAC) for system administrators?,No,Granular rights and permissions enable the institution to grant users access to specific features as needed.,Describe any plans to virtualize your environment hosting Institution data.,,,,,,,,,30,APPL-02,0.0
APPL-03,Can employees access customer data remotely?,Yes,"Remote Access Acceptable Use Standards
APPL-04,Can you provide overall system and/or application architecture diagrams including a full description of the data communications architecture for all components of the system?,Yes,AWS CDK (Cloud Development Kit) is a framework that lets us define infrastructure as code (IaC) using TypeScript. With AWS CDK","you can create infrastructure resources and manage them programmatically using high-level object-oriented APIs. The CDK generates AWS CloudFormation templates based on the code defined in the high-level APIs. AWS CDK includes a set of pre-built components called ""constructs"" that represent AWS resources such as EC2 instances",S3 buckets, and Lambda functions. You can use these constructs to specify the desired state of an AWS environment, and the CDK automatically generates the corresponding CloudFormation templates. Overall, AWS CDK simplifies the process of creating and managing infrastructure in the cloud," making it easier for you to focus on creating high-quality applications and services.""",Provide a reference to the requested documents or provide them when submitting this fully-populated HECVAT.,,,31,APPL-03,0.0
APPL-05,Does the system provide data input validation and error messages? ,Yes,Forms in the User Interface provide error messages as appropriate. Documentation including response codes to our API can be provided on request by the client.,Provide a reference to documentation of your data input validation and error messaging capabilities.,,,,,,,,,32,APPL-05,0.0
APPL-06,Do you employ a single-tenant environment? ,No,,,,,,,,,,,33,APPL-06,0.0
APPL-07,What operating system(s) is/are leveraged by the system(s)/application(s) that will have access to institution's data?,All Full Measure operating systems are Ubuntu 16.04 or greater.  Full Measure software is deployed using Docker containers that also start with a base of Alpine or Ubuntu Linux operating systems.,,List all operating systems and the roles that are fulfilled by each.,,,,,,,,,34,APPL-07,0.0
APPL-08,Have you or any third party you contract with that may have access or allow access to the institution's data experienced a breach?,No,,,,,,,,,,,35,APPL-08,0.0
APPL-09,Describe or provide a reference to additional software/products necessary to implement a functional system on either the backend or user-interface side of the system. ,"Access to FME's SFTP server will be provided to facilitate a file exchange integration.  Files can be updated as needed by an automated process or by a manual upload by your outgoing directory.  In return, FME will make data files available for pick up by the client. In the case of manual upload to accomplish a file push to FME, it is reccomend to use an SFTP client such as FileZilla or Cyberduck.",,Describe the products and how they will be implemented.,,,,,,,,,36,APPL-09,0.0
APPL-10,"Describe or provide a reference to the overall system and/or application architecture(s), including appropriate diagrams. Include a full description of the data communications architecture for all components of the system. ","Architecture diagram is provided here: https://drive.google.com/file/d/1ilPWGtKYsySOa-RTQovOCZGnLpNB8g9P/view?usp=sharing. For the Campus Visit Experience, no student data is needed to build tours. If the institution decides to send outbound communications to their students, that data is hosted on our sFTP server.",,Ensure that all parts of APPL-10 are clearly stated in your response. Submit architecture diagrams along with this fully-populated HECVAT.,,,,,,,,,37,APPL-10,0.0
APPL-11,Are databases used in the system segregated from front-end systems? (e.g. web and application servers),Yes,FME leverages AWS services to accomplish this. See link for additional details. https://docs.aws.amazon.com/pdfs/whitepapers/latest/security-at-the-edge/security-at-the-edge.pdf,Provide a brief description.,,,,,,,,,38,APPL-11,0.0
APPL-12,Describe or provide a reference to all web-enabled features and functionality of the system (i.e. accessed via a web-based interface). ,"Full Measure is a Progressive Web Application, making all functionality in the described solution accessible via a web-based interface. Administrators will be able to manage users & permissions, all campaigns to students, and all conversations in their inbox from any browser. Administrative users will create their tours on a web-based interface. ",,Include both end-user and adminstrative features and functions.,,,,,,,,,39,APPL-12,0.0
APPL-13,Are there any OS and/or web-browser combinations that are not currently supported?,Yes,We only provide full support for Google Chrome. ,Describe all OS and web-browser combonations that are not currently supported.,,,,,,,,,40,APPL-13,0.0
APPL-14,Can your system take advantage of mobile and/or GPS enabled mobile devices?  ,Yes,"We utilize location services to detect whether visitors are on-campus. If users are on campus, they are prompted to take the in-person version of the tour, as well as to download the app, so they can utilize the Augmented Reality features that are only available for in-person tours. Location services are not required for users to take tours or to utilize the Campus Visit Experience functionality. We do not send location infomation to the institution. ",Provide a detailed description of system capabilities and how location data is secured.,,,,,,,,,41,APPL-14,0.0
APPL-15,Describe or provide a reference to the facilities available in the system to provide separation of duties between security administration and system administration functions.,ISO 27001 via AWS https://aws.amazon.com/compliance/iso-27001-faqs/,,"Include a detailed description of how security administration and system administration authority is separated, controls are verified, and logs are reviewed regularly to ensure appropriate use.",,,,,,,,,42,APPL-15,0.0
APPL-16,"Describe or provide a reference that details how administrator access is handled (e.g. provisioning, principle of least privilege, deprovisioning, etc.)",Only the President has full privileges in the AWS infrastructure. All privileges provided to other system users are relegated by the Director of Product Development. The privileges provided to each user are managed using IAM and are restricted to privileges necessary for performing job duties.,,Ensure that all parts of APPL-16 are clearly stated in your response.,,,,,,,,,43,APPL-16,0.0
APPL-17,Does the system provide data input validation and error messages? ,Yes,Forms in the User Interface provide error messages as appropriate. Validation and error messages provided when using our API. Try it out and see documentation here: http://openapi.fullmeasureed.com/?url=https://cm.fullmeasureed.com/api/web_services/apidocs&proxy=false,Submit documentation and/or web resources of vendor's validation practices.,,,,,,,,,44,APPL-17,0.0
APPL-18,"Describe or provide references explaining how tertiary services are redundant (i.e. DNS, ISP, etc…).","Predictive maintenance analytics capture the state of equipment, so potential breakdowns can be quickly identified before they impact Full Measure operations.  Please use the link below to review AWS predictive maintenance and system redundancy.  Please see attached EYCP Certification in section “A” of the addenda: https://aws.amazon.com/compliance/iso-27001-faqs/
AAAI-01,Can you enforce password/passphrase aging requirements?,No,Password/passphrase aging requirements are on the roadmap"," but there is not currently an estimated time for completion. """,Describe plans to support password/passphrase aging requirements.,,,,,,,,,45,APPL-18,0.0
AAAI-02,Can you enforce password/passphrase complexity requirements [provided by the institution]?,No,"Password/passphrase aging requirements are on the roadmap, but there is not currently an estimated time for completion. ",Describe plans to support password/passphrase complexity requirements.,,,,,,,,,46,AAAI-02,0.0
AAAI-03,Does the system have password complexity or length limitations and/or restrictions?,Yes,Our platform requires a 12 character password.,Describe these limitations and/or restrictions and state what lengths and complexities are supported.,,,,,,,,,47,AAAI-03,0.0
AAAI-04,Do you have documented password/passphrase reset procedures that are currently implemented in the system and/or customer support?,Yes,Password resets are sent via email. Please see the link for more information. https://support.fullmeasureed.com/hc/en-us/articles/360022162131-Password-Issues,Describe your documented password/passphrase reset procedures that are currently implemented in the system and/or customer support.,,,,,,,,,48,AAAI-04,0.0
AAAI-05,"Does your web-based interface support authentication, including standards-based single-sign-on? (e.g. InCommon)",,Our platform has been integrated with SSO providers on a case-by-case basis.,,,,,,,,,,49,AAAI-05,0.0
AAAI-06,Are there any passwords/passphrases hard coded into your systems or products?,No,,,,,,,,,,,50,AAAI-06,0.0
AAAI-07,Are user account passwords/passphrases visible in administration modules?,No,,,,,,,,,,,51,AAAI-07,0.0
AAAI-08,Are user account passwords/passphrases stored encrypted?,Yes,"All passwords will be encrypted during transmission and during storage on all system components.
AAAI-09,Does your application and/or user-frontend/portal support multi-factor authentication? (e.g. Duo", Google Authenticator, OTP," etc.)""",No,"Multi-factor authentication is on the roadmap, but there is not currently an estimated time for completion. ",Describe any plans to support multi-factor authentication in your application.,,,,52,AAAI-08,0.0
AAAI-10,"Does your application support integration with other authentication and authorization systems?  List which ones (such as Active Directory, Kerberos and what version) in Additional Info?",No,"Support for authentication systems is on the roadmap, but there is not currently an estimated time for completion. ",Describe any plans to support integration with other authentication and authorization systems.,,,,,,,,,53,AAAI-10,0.0
AAAI-11,Will any external authentication or authorization system be utilized by an application with access to the institution's data?,No,,,,,,,,,,,54,AAAI-11,0.0
AAAI-12,"Does the system (servers/infrastructure) support external authentication services (e.g. Active Directory, LDAP) in place of local authentication?",No,There are no plans to support this.,Describe any plans to support external authentication services in place of local authentication.,,,,,,,,,55,AAAI-12,0.0
AAAI-13,Does the system operate in a mixed authentication mode (i.e. external and local authentication)?,No,There are no plans to support this.,Describe any plans to use mixed authentication modes.,,,,,,,,,56,AAAI-13,0.0
AAAI-14,Will any external authentication or authorization system be utilized by a system with access to institution data?,No,"FME uses AWS VPCs to help control system access. Remote access to hosts in the environment is granted by use of a specific key pair, supplemented with standard login credentials.",,,,,,,,,,57,AAAI-14,0.0
AAAI-15,"Are audit logs available that include AT LEAST all of the following; login, logout, actions performed, and source IP address?",No,Audit logging and monitoring details can be reviewed in the FME Information Security Policy.,Describe any plans to enable audit logs for these data elements.,,,,,,,,,58,AAAI-15,0.0
AAAI-16,"Describe or provide a reference to the a) system capability to log security/authorization changes as well as user and administrator security events (i.e. physical or electronic)(e.g. login failures, access denied, changes accepted), and b) all requirements necessary to implement logging and monitoring on the system. Include c) information about SIEM/log collector usage.","Full Measure utilzes AWS tooling, specifically IAM Manager and cloudtrail to monitor modified resources and usage.  This combination of tooling provides access to track the necessary changes across the system.  When inappropriate access is attempted it is blocked by our policies in place for the resources used to serve the platform.  ",,Ensure that all elements of AAAI-16 are clearly stated in your response.,,,,,,,,,59,AAAI-16,0.0
AAAI-17,"Describe or provide a reference to the retention period for those logs, how logs are protected, and whether they are accessible to the customer (and if so, how).","The retention policy for these logs is 30 days. They are protected by the security measures built in to AWS. When using IAM Manager, we are able to view access logs of each user. These logs are not accessible to the customer.",,Ensure that all elements of AAAI-17 are clearly stated in your response.,,,,,,,,,60,AAAI-17,0.0
BCPL-01,Describe or provide a reference to your Business Continuity Plan (BCP).,Details can be reviewed in the FME Disaster Recovery Plan attached.,,Provide a valid URL to your current BCP or submit it along with this fully-populated HECVAT.,,,,,,,,,61,BCPL-01,0.0
BCPL-02,May the Institution review your BCP and supporting documentation?,Yes,Please see attached.,Provide a reference to your BCP and supporting documentation or submit it along with this fully-populated HECVAT.,,,,,,,,,62,BCPL-02,0.0
BCPL-03,Is an owner assigned who is responsible for the maintenance and review of the Business Continuity Plan?,Yes,"Anthony Walasik, Director of Product Development, is responsible for maintaining and regularly reviewing the BCP.","Provide additional details, as needed.",,,,,,,,,63,BCPL-03,0.0
BCPL-04,Is there a defined problem/issue escalation plan in your BCP for impacted clients?,Yes,https://docs.google.com/document/d/16xpUzWh8ofd4m5IBMHbkOHGip638VUu_XrYRnJhekfM/edit#heading=h.gjdgxs,Summarize your defined problem/issue escalation plan contained in your BCP.,,,,,,,,,64,BCPL-04,0.0
BCPL-05,Is there a documented communication plan in your BCP for impacted clients?,Yes,https://docs.google.com/document/d/16xpUzWh8ofd4m5IBMHbkOHGip638VUu_XrYRnJhekfM/edit#heading=h.gjdgxs,Summarize your documented communication plan contained in your BCP.,,,,,,,,,65,BCPL-05,0.0
BCPL-06,Are all components of the BCP reviewed at least annually and updated as needed to reflect change? ,Yes,"Led by our Director of Product Development, the BCP gets reviewed at an executive level at least annually.",Describe your BCP component review strategy.,,,,,,,,,66,BCPL-06,0.0
BCPL-07,Has your BCP been tested in the last year? ,Yes,Our BCP was tested in the last 12 months.,State the date of your last BCP test.,,,,,,,,,67,BCPL-07,0.0
BCPL-08,Does your organization conduct training and awareness activities to validate its employees understanding of their roles and responsibilities during a crisis?,Yes,All team members involved are trained on what is expected by them in the event that the BCP needs to be utilized.,Describe your training and awareness activities.,,,,,,,,,68,BCPL-08,0.0
BCPL-09,Are specific crisis management roles and responsibilities defined and documented?,Yes,When an incident occurs the Emergency Response Team (ERT) must be activated.  The ERT will then decide the extent to which the DRP must be invoked.   All employees must be issued a Quick Reference card containing ERT contact details to be used in the event of a disaster. Details can be reviewed in the FME Disaster Recovery Plan attached.,Summarize these crisis management roles and responsibilities.,,,,,,,,,69,BCPL-09,0.0
BCPL-10,Does your organization have an alternative business site or a contracted Business Recovery provider?,Yes,All data and applications are backed up using cross-region replication on AWS. The regions utilized are more than 500 miles apart,Provide the distance (in miles) between the primary and secondary locations.,,,,,,,,,70,BCPL-10,0.0
BCPL-11,Does your organization conduct an annual test of relocating to an alternate site for business recovery purposes?,No,All data and code for our platform is stored in Amazon Web Services in AWS us-east-1 (Northern Virginia) and us-east-2 (Ohio).,Describe your strategy to implement annual alternate site relocation testing.,,,,,,,,,71,BCPL-11,0.0
BCPL-12,"Is this product a core service of your organization, and as such, the top priority during business continuity planning?",Yes,"Full Measure is proud to build, deploy, and maintain one platform used by all of our customers.",Provide a brief summary to support your selection.,,,,,,,,,72,BCPL-12,0.0
CHNG-01,Do you have a documented and currently followed change management process (CMP)? ,No,There are no current plans to implement a change management process.,Describe current plans to implement a change management process.,,,,,,,,,73,CHNG-01,0.0
CHNG-02,Indicate all procedures that are implemented in your CMP. a.) An impact analysis of the upgrade is performed.  b.) The change is appropriately authorized. c.) Changes are made first in a test environment. d.) The ability to implement the upgrades/changes in the production environment is limited to appropriate IT personnel.,ASK DEV,,Ensure that all parts of CHNG-02 are clearly stated in your response.,,,,,,,,,74,CHNG-02,0.0
CHNG-03,Will the Institution be notified of major changes to your environment that could impact the Institution's security posture?,Yes,Client will be notified before any changes that could impact the Institution's security posture are implemented.,State how and when the Institution will be notified of major changes to your environment.,,,,,,,,,75,CHNG-03,0.0
CHNG-04,Do clients have the option to not participate in or postpone an upgrade to a new release?,Yes,"Most features can be toggled on or off without interrupting service to the platform. Sometimes, critical fixes will be pushed to live instances without warning.",Provide reference the the process/procedure to manage releases.,,,,,,,,,76,CHNG-04,0.0
CHNG-05,Describe or provide a reference to your solution support strategy in relation to maintaining software currency. (i.e. how many concurrent versions are you willing to run and support?),Full Measure maintains one production version of our platform.,,Ensure that all relevant details pertaining to CHNG-05 are clearly stated in your response.,,,,,,,,,77,CHNG-05,0.0
CHNG-06,Identify the most current version of the software. Detail the percentage of live customers that are utilizing the proposed version of the software as well as each version of the software currently in use.,"Our platform rolls out regular updates, and all customers are utilizing the same version.",,Ensure that all parts of CHNG-06 are clearly stated in your response.,,,,,,,,,78,CHNG-06,0.0
CHNG-07,Does the system support client customizations from one release to another?,Yes,"When new features are released, they become available to clients either immediately, upon request, or are accessible via a toggle permission. When publishing tours, we are able to support releasing only the tours that the customer is ready to publish. The client is able to fully customize the tours that are published, and whether they are curated or personalized tours. As additional tours are created, we can publish them as needed.",Describe how this is accomplished within your system.,,,,,,,,,79,CHNG-07,0.0
CHNG-08,"Does your organization ensure through policy and procedure (that is currently implemented) that only application software verifiable as authorized, tested, and approved for production, and having met all other requirements and reviews necessary for commissioning, is placed into production?",Yes,"All releases are tested in a staging environment, and managed by our Release Manager. All code changes are verified in gitlab by peer review and submitted to QA by the Release Manager prior to deployment.",Describe how this is accomplished within your environment.,,,,,,,,,80,CHNG-08,0.0
CHNG-09,Do you have a release schedule for product updates?,Yes,"We typically announce upcoming releases 2-4 weeks before they are moved to production. Certain clients are invited to participate in early testing of features. However, fullmeasure does employ continuous integration and bug fixes and updates are deployed as needed.",Provide a reference to this product's release schedule.,,,,,,,,,81,CHNG-09,0.0
CHNG-10,"Do you have a technology roadmap, for the next 2 years, for enhancements and bug fixes for the product/service being assessed?",Yes,"The Development, Support, and Product team leads meet to review, prioritize, and assign bugs on a weekly basis. Critical bugs are addressed as they are reported. We do have a technology roadmap for product enhancements.",Provide a reference to your technology roadmap.,,,,,,,,,82,CHNG-10,0.0
CHNG-11,Is Institution involvement (i.e. technically or organizationally) required during product updates?,No,,,,,,,,,,,83,CHNG-11,0.0
CHNG-12,"Do you have policy and procedure, currently implemented, managing how critical patches are applied to all systems and applications?",Yes,Critical patches are deployed as needed and can be implemented in under an hour. ,Summarize the policy and procedure(s) managing how critical patches are applied to systems and applications.,,,,,,,,,84,CHNG-12,0.0
CHNG-13,"Do you have policy and procedure, currently implemented, guiding how security risks are mitigated until patches can be applied?",Yes,Operating System and Software security patches are automatically applied during each release which typically occur once every 2 weeks.,Summarize the policy and procedure(s) guiding risk mitigation practices before critical patches can be applied.,,,,,,,,,85,CHNG-13,0.0
CHNG-14,Are upgrades or system changes installed during off-peak hours or in a manner that does not impact the customer?,Yes,Our production releases are conducted during off peak hours (prior to 9am Eastern time).,Define current off-peak hours.,,,,,,,,,86,CHNG-14,0.0
CHNG-15,Do procedures exist to provide that emergency changes are documented and authorized (including after the fact approval)?,Yes,"All changes are documented and distributed to our customers. In the event of an emergency change, a post-mortem will occur between executives of Full Measure including the Director of Product Development, CEO, EVP of Client Success, and VP of Product.",Summarize implemented procedures ensuring that emergency changes are documented and authorized.,,,,,,,,,87,CHNG-15,0.0
DATA-01,Do you physically and logically separate Institution's data from that of other customers?,Yes,Full Measure does not interact directly with client servers. Data exchange is always conducted via CSV file exchange on FTP or S3 servers usually provided by Full Measure. Data stored in the Full Measure system is isolated from other client data via Role Based Access Control.,Describe or provide a reference to how institution data is physically and logically separated from that of other customers.,,,,,,,,,88,DATA-01,0.0
DATA-02,"Will Institution's data be stored on any devices (database servers, file servers, SAN, NAS, …) configured with non-RFC 1918/4193 (i.e. publicly routable) IP addresses?",No,,,,,,,,,,,89,DATA-02,0.0
DATA-03,Is sensitive data encrypted in transport? (e.g. system-to-client),Yes,"Data transport is secured by three layers of redundant security: HTTPS, an API Key, and Secret Key Encryption.",Summarize your transport encryption strategy.,,,,,,,,,90,DATA-03,0.0
DATA-04,"Is sensitive data encrypted in storage (e.g. disk encryption, at-rest)?",Yes,"Sensitive student data, including PII is encrypted with AES-256 when at rest",Summarize your data encryption strategy.,,,,,,,,,91,DATA-04,0.0
DATA-05,Do you employ or allow any cryptographic modules that do not conform to the Federal Information Processing Standards (FIPS PUB 140-2)?,No,,,,,,,,,,,92,DATA-05,0.0
DATA-06,"Does your system employ encryption technologies when transmitting sensitive information over TCP/IP networks (e.g., SSH, SSL/TLS, VPN)? (e.g. system-to-system and system-to-client)",Yes,Our applications encrypt all data in transit. SSL certs are used for client applications and ssh access is restricted to employees who require it to perform their job duties.,"Include all types of encryption; remote-access, application/database, end-user-to-system, etc.",,,,,,,,,93,DATA-06,0.0
DATA-07,List all locations (i.e. city + datacenter name) where the institution's data will be stored?,Full Measure data centers are outsourced and hosted in Amazon Web Services in AWS us-east-1 (Northern Virginia) and us-east-2 (Ohio).,,Ensure that all parts of DATA-07 are clearly stated in your response.,,,,,,,,,94,DATA-07,0.0
DATA-08,"At the completion of this contract, will data be returned to the institution?",Yes,"Full Measure will provide Client with access to their data within 48 hours of effective notice of cancellation, termination etc.  The data is the customer’s data and will always be the customer’s data. This includes any data generated by our system. This is clearly articulated in our standard master terms agreement. Our standard practice is to retain data for three months as a precaution to ensure that you can get access to data or reinstate your contract without issue. We will delete the data immediately and completely if asked to do so.  All data will be made available upon customer request within 48 hours via CSV file exchange via SFTP.",Describe how data will be returned to the institution and in what format will it be presented.,,,,,,,,,95,DATA-08,0.0
DATA-09,Will the institution's data be available within the system for a period of time at the completion of this contract?,Yes,"Full Measure will provide Client with access to their data within 48 hours of effective notice of cancellation, termination etc.  The data is the customer’s data and will always be the customer’s data. This includes any data generated by our system. This is clearly articulated in our standard master terms agreement. Our standard practice is to retain data for three months as a precaution to ensure that you can get access to data or reinstate your contract without issue. We will delete the data immediately and completely if asked to do so.  All data will be made available upon customer request within 48 hours via CSV file exchange via SFTP.",State the length of time that Institution's data will be available in the system at the completion of the contract.,,,,,,,,,96,DATA-09,0.0
DATA-10,Can the institution extract a full backup of data?,Yes,Backups can be provided at the request of Client.,Describe frequency and procedures for obtaining a full backup of data.,,,,,,,,,97,DATA-10,0.0
DATA-11,"Are ownership rights to all data, inputs, outputs, and metadata retained by the institution?",Yes,Please refer to the master terms agreement for more details.,Provide reference to your data ownership documention.,,,,,,,,,98,DATA-11,0.0
DATA-12,Are these rights retained even through a provider acquisition or bankruptcy event?,Yes,,"Provide references, as needed.",,,,,,,,,99,DATA-12,0.0
DATA-13,"In the event of imminent bankruptcy, closing of business, or retirement of service, will you provide 90 days for customers to get their data out of the system and migrate applications?",Yes,Client will be notified by the identified Vendor Contact,State how the institution will be notified of imminent termination.,,,,,,,,,100,DATA-13,0.0
DATA-14,Describe or provide a reference to the backup processes for the servers on which the service and/or data resides. ,"All client data backups are to Amazon S3 storage.  Workstations controls are outlined in FME Information Security Policy. Backups are maintained for up to 35 days, and disposed of daily.",,"If your strategy uses different processes for services and data, ensure that all strategies are clearly stated and supported.",,,,,,,,,101,DATA-14,0.0
DATA-15,Are backup copies made according to pre-defined schedules and securely stored and protected?,Yes,Yes; Full RDS image backups are made every 30 minutes and retained for 35 days as a standard. Longer retention periods are available for customers who require a longer restoration window.  Older backups are automatically discarded via AWS backup procedures.,Summarize your backup scheduling strategy.,,,,,,,,,102,DATA-15,0.0
DATA-16,How long are data backups stored?,Backups are retained for 35 days as a standard. Longer retention periods are available for customers who require a longer restoration window.  Older backups are automatically discarded via AWS backup procedures.,,"If your backup strategy uses varying periods, ensure that each strategy is clearly stated and supported.",,,,,,,,,103,DATA-16,0.0
DATA-17,Are data backups encrypted?,Yes,"Yes; All data is stored in AWS S3 encrypted buckets and can be destroyed if necessary, but we do not reuse physical devices.",Summarize the encryption algorithm/strategy you are using to secure backups.,,,,,,,,,104,DATA-17,0.0
